TPdef | PLNONE | CFNONE | SO12 | QU0 | MA1.0 | WEEK8 | 0.20518671176006792
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK0 | 0.20079536330461958
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK1 | 0.1828877510809798
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK2 | 0.18294475945494604
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK3 | 0.18375745989140108
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK4 | 0.18320205399195735
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK5 | 0.18360678171766917
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK6 | 0.1831738172627002
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK7 | 0.18364852216901542
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK8 | 0.18497463374252412
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK0 | 0.20627299120945355
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK1 | 0.18493445876214415
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK2 | 0.18673887229449285
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK3 | 0.18752520394448008
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK4 | 0.1868500214774135
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK5 | 0.1871169431438854
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK6 | 0.18673126371985696
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK7 | 0.18728807147930415
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK8 | 0.18821680907565994
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK0 | 0.19398596180289543
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK1 | 0.16749120626469474
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK2 | 0.16813017000426053
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK3 | 0.16848122502401672
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK4 | 0.1688469408622204
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK5 | 0.16887029424646083
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK6 | 0.1696829400864596
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK7 | 0.16851478508822834
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK8 | 0.17033825285658524
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK0 | 0.20576223469995972
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK1 | 0.18258379577568312
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK2 | 0.18646491832885362
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK3 | 0.18868141247921222
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK4 | 0.18578926017418038
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK5 | 0.18543662264779007
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK6 | 0.18354329192966579
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK7 | 0.1834140997020628
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK8 | 0.1838782236110784
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK0 | 0.19236371630672036
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK1 | 0.1665100761113722
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK2 | 0.16621811809613313
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK3 | 0.1697960863218905
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK4 | 0.16675287550963477
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK5 | 0.16765359224362414
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK6 | 0.16775310904176108
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK7 | 0.1670985602745234
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK8 | 0.16691497868986893
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK0 | 0.21543960691948058
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK1 | 0.19074424655609953
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK2 | 0.19512136629551574
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK3 | 0.19434952173628367
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK4 | 0.19399347031184752
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK5 | 0.19379615373139508
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK6 | 0.1944190389771949
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK7 | 0.19507576339241758
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK8 | 0.1961371377994534
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK0 | 0.19519469768608147
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK1 | 0.1733655778575621
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK2 | 0.17336317920826233
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK3 | 0.17266349500399983
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK4 | 0.175536185649507
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK5 | 0.17471562409983124
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK6 | 0.17444530833519797
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK7 | 0.17532508878979605
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK8 | 0.17657880480680668
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK0 | 0.20198631648770468
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK1 | 0.17651636867853543
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK2 | 0.17660040638000682
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK3 | 0.17981561823733383
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK4 | 0.17905409652636242
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK5 | 0.17806871196808577
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK6 | 0.1776338153690629
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK7 | 0.1782865929147202
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK8 | 0.17849449009292134
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK0 | 0.18887657588296736
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK1 | 0.16002854702060576
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK2 | 0.16072178096085096
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK3 | 0.16272573590751502
