TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK1 | 0.005094757856024701
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK2 | 0.029044161366066135
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK3 | 0.030921785947004232
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK4 | 0.030242061536508574
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK5 | 0.02917454476042808
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK6 | 0.02972626689855501
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK7 | 0.0293300830269472
TPdef | PLNONE | CFNONE | SO12 | QU0 | MA0.8 | WEEK8 | 0.027298588917571004
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK1 | 0.004898393799011386
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK2 | 0.02131923698844873
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK3 | 0.02515621604146548
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK4 | 0.02706705681751853
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK5 | 0.026183651954381687
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK6 | 0.025326780826664508
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK7 | 0.026126872228803
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA1.0 | WEEK8 | 0.024562995920565378
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK1 | 0.02311849056475418
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK2 | 0.045071830665025486
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK3 | 0.04373101455854206
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK4 | 0.04515582685248026
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK5 | 0.043703833872948544
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK6 | 0.043581535941635274
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK7 | 0.04399572874631141
TPdef | PLNONE | CFNONE | SO12 | QU2 | MA0.8 | WEEK8 | 0.042633010862886594
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK1 | 0.006463313641173363
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK2 | 0.02170155562201828
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK3 | 0.025177323433110244
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK4 | 0.028922113114711462
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK5 | 0.02787034116274381
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK6 | 0.03052979479021986
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK7 | 0.0288660946691581
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA1.0 | WEEK8 | 0.02852720458756927
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK1 | 0.025454311824238435
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK2 | 0.04649699076433128
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK3 | 0.04343483606686735
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK4 | 0.04691246160959661
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK5 | 0.04498770174342645
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK6 | 0.04533071683623105
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK7 | 0.04581233007849464
TPdef | PLNONE | CFNONE | SO12 | QU3 | MA0.8 | WEEK8 | 0.046040217269612854
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK1 | 0.0021960058161370477
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK2 | 0.017251321056901886
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK3 | 0.018548187570413183
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK4 | 0.01930875251897099
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK5 | 0.01960445399559585
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK6 | 0.019184413839289843
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK7 | 0.01816751534042438
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA1.0 | WEEK8 | 0.016332574093574553
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK1 | 0.01964416629737384
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK2 | 0.03802182166600551
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK3 | 0.03918640887211916
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK4 | 0.037785351187626215
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK5 | 0.03864355009737727
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK6 | 0.03774138420111514
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK7 | 0.03679310951142223
TPdef | PLNONE | CFNONE | SO3 | QU0 | MA0.8 | WEEK8 | 0.035777985823080616
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK1 | 0.01505468725091691
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK2 | 0.03366803933200177
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK3 | 0.03365427001392213
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK4 | 0.0334851038335357
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK5 | 0.03483324682892308
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK6 | 0.03553739427433447
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK7 | 0.0341209464431296
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA1.0 | WEEK8 | 0.03402593365241929
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK1 | 0.03032318173569193
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK2 | 0.0502866079111671
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK3 | 0.05143030351393313
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK4 | 0.05104347315077504
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK5 | 0.05005434197392347
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK6 | 0.05030809960730942
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK7 | 0.049030332135127
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK8 | 0.048988018849802306
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK1 | 0.017754077301158105
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK2 | 0.030849541200718394
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK3 | 0.03407064715735769
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK4 | 0.0368827770742888
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK5 | 0.036366727705248625
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK6 | 0.03606335963957058
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK7 | 0.036855983492829925
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK8 | 0.03596530055815278
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK1 | 0.031208493747233612
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK2 | 0.04932847863782644
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK3 | 0.051882285389984295
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK4 | 0.052740601517172386
